titulo,data,url,fonte
Desigualdades marcam formalização do trabalho entre jovens brasileiros,2026-08-21T14:31:00-03:00,https://agenciabrasil.ebc.com.br/economia/noticia/2026-08/desigualdades-marcam-formalizacao-do-trabalho-entre-jovens-brasileiros,Agência Brasil
"Jovens ocupados são a maioria, mas 6,2 milhões seguem como “nem-nem”",2026-06-25T20:34:00-03:00,https://agenciabrasil.ebc.com.br/economia/noticia/2026-06/jovens-ocupados-sao-maioria-mas-62-milhoes-seguem-como-nem-nem,Agência Brasil
